Season	Family	Species	Interval	TreeNumber	MeanGs	MeanLWP
Spring17	Polygonaceae	CM	3	5	40.475	56.5
Spring17	Polygonaceae	CM	4	1	49.33333333	47.5
Spring17	Polygonaceae	CM	4	2	93.95	44.5
Spring17	Polygonaceae	CM	4	3	71.625	39
Spring17	Polygonaceae	CM	4	4	49.06666667	55.5
Spring17	Polygonaceae	CM	4	5	45.825	57
Spring17	Polygonaceae	CM	5	1	58.1	46.5
Spring17	Polygonaceae	CM	5	2	58.75	44.5
Spring17	Polygonaceae	CM	5	3	100.175	38
Spring17	Polygonaceae	CM	5	4	39.53333333	53
Spring17	Polygonaceae	CM	5	5	59.475	52
Spring17	Polygonaceae	CM	6	1	93.06666667	48
Spring17	Polygonaceae	CM	6	2	101.4666667	43.5
Spring17	Polygonaceae	CM	6	3	101.1	39
Spring17	Polygonaceae	CM	6	4	54.43333333	52
Spring17	Polygonaceae	CM	6	5	59.85	54.5
Spring17	Anacardiaceae	CN	1	4	204.4333333	4.5
Spring17	Anacardiaceae	CN	1	3	190.6333333	7
Spring17	Anacardiaceae	CN	1	6	146.3	9
Spring17	Anacardiaceae	CN	1	2	203.2666667	10.5
Spring17	Anacardiaceae	CN	2	4	291.2	8
Spring17	Anacardiaceae	CN	2	3	189.5	11
Spring17	Anacardiaceae	CN	2	6	211.5333333	9.5
Spring17	Anacardiaceae	CN	2	2	253.4333333	12
Spring17	Anacardiaceae	CN	3	4	326.8666667	9
Spring17	Anacardiaceae	CN	3	3	252.3	10.5
Spring17	Anacardiaceae	CN	3	6	298.9666667	12
Spring17	Anacardiaceae	CN	3	2	266.7666667	10
Spring17	Anacardiaceae	CN	4	4	299.3333333	10
Spring17	Anacardiaceae	CN	4	3	348.1	10.5
Spring17	Anacardiaceae	CN	4	6	203.4	8.5
Spring17	Anacardiaceae	CN	5	4	278.7	12
Spring17	Anacardiaceae	CN	5	3	142.2666667	11
Spring17	Anacardiaceae	CN	5	6	218.4	12
Summer17	Anacardiaceae	CN	1	2	200.6666667	15.5
Summer17	Anacardiaceae	CN	1	6	198.4	14
Summer17	Anacardiaceae	CN	2	6	135.3333333	20
Summer17	Anacardiaceae	CN	2	2	161.7666667	16
Summer17	Anacardiaceae	CN	2	3	164.1	14
Summer17	Anacardiaceae	CN	3	2	202.5333333	15
Summer17	Anacardiaceae	CN	3	6	162.0666667	13.5
Summer17	Anacardiaceae	CN	3	3	148.85	12.5
